Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2007,2007,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2007,2007,m3,23890,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2007,2007,m3,21409,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2008,2008,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2008,2008,m3,23890,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2008,2008,m3,21409,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2009,2009,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2009,2009,m3,23890,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2009,2009,m3,21409,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2010,2010,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2010,2010,m3,23890,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2010,2010,m3,21409,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2011,2011,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2011,2011,m3,93908,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2011,2011,m3,5862,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2012,2012,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2012,2012,m3,76661,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2012,2012,m3,6546,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2013,2013,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2013,2013,m3,76660,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2013,2013,m3,6550,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2014,2014,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2014,2014,m3,70400,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2014,2014,m3,1050,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2015,2015,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2015,2015,m3,73100,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2015,2015,m3,850,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2016,2016,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2016,2016,m3,73100,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2016,2016,m3,850,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2017,2017,m3,8000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2017,2017,m3,109441,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2017,2017,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2018,2018,m3,58273,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2018,2018,m3,44807,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2018,2018,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2019,2019,m3,83716,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2019,2019,m3,46334,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2019,2019,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2020,2020,m3,79020,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2020,2020,m3,47915,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2020,2020,m3,1248,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2021,2021,m3,103886,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2021,2021,m3,53911,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2021,2021,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1872,Sawnwood,2022,2022,m3,87340,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1872,Sawnwood,2022,2022,m3,54998,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1872,Sawnwood,2022,2022,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1873,Wood-based panels,2006,2006,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1873,Wood-based panels,2006,2006,m3,98835,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1873,Wood-based panels,2006,2006,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1873,Wood-based panels,2007,2007,m3,11000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1873,Wood-based panels,2007,2007,m3,84975,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1873,Wood-based panels,2007,2007,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1873,Wood-based panels,2008,2008,m3,11000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1873,Wood-based panels,2008,2008,m3,79948,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1873,Wood-based panels,2008,2008,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1873,Wood-based panels,2009,2009,m3,11000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1873,Wood-based panels,2009,2009,m3,96948,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1873,Wood-based panels,2009,2009,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1873,Wood-based panels,2010,2010,m3,11000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1873,Wood-based panels,2010,2010,m3,97948,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1873,Wood-based panels,2010,2010,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1873,Wood-based panels,2011,2011,m3,11000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1873,Wood-based panels,2011,2011,m3,186870,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1873,Wood-based panels,2011,2011,m3,0,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1873,Wood-based panels,2012,2012,m3,11000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1873,Wood-based panels,2012,2012,m3,176100,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1873,Wood-based panels,2012,2012,m3,1200,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1873,Wood-based panels,2013,2013,m3,11000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1873,Wood-based panels,2013,2013,m3,176100,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5916,Export Quantity,1873,Wood-based panels,2013,2013,m3,1200,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5516,Production,1873,Wood-based panels,2014,2014,m3,11000,E,Estimated value,
FO,Forestry Production and Trade,8,Albania,5616,Import Quantity,1873,Wood-based panels,2014,2014,m3,176100,E,Estimated value,
